18:03:24.381: Position 1: RT69
18:04:30.788: Message received: ISTHIS,working,7,1171
18:04:30.790: Awarded: 0 pts
18:04:31.160: Message received: ISTHIS,working,7,1171
18:04:31.161: Awarded: 0 pts
18:04:31.511: Message received: ISTHIS,working,7,1171
18:04:31.513: Awarded: 0 pts
18:04:31.891: Message received: ISTHIS,working,7,1171
18:04:31.893: Awarded: 0 pts
18:04:32.264: Message received: ISTHIS,working,7,1171
18:04:32.265: Awarded: 0 pts
18:04:32.620: Message received: ISTHIS,working,7,1171
18:04:32.625: Awarded: 0 pts
18:04:32.981: Message received: ISTHIS,working,7,1171
18:04:32.983: Awarded: 0 pts
18:04:33.334: Message received: ISTHIS,working,7,1171
18:04:33.335: Awarded: 0 pts
18:04:33.699: Message received: ISTHIS,working,7,1171
18:04:33.700: Awarded: 0 pts
18:04:34.059: Message received: ISTHIS,working,7,1171
18:04:34.061: Awarded: 0 pts
18:04:34.440: Message received: ISTHIS,working,7,1171
18:04:34.442: Awarded: 0 pts
18:04:34.800: Message received: ISTHIS,working,7,1171
18:04:34.802: Awarded: 0 pts
18:04:35.149: Message received: ISTHIS,working,7,1171
18:04:35.150: Awarded: 0 pts
18:04:35.503: Message received: ISTHIS,working,7,1171
18:04:35.504: Awarded: 0 pts
18:04:35.863: Message received: ISTHIS,working,7,1171
18:04:35.865: Awarded: 0 pts
18:04:36.205: Message received: ISTHIS,working,7,1171
18:04:36.206: Awarded: 0 pts
18:04:42.330: Message received: ISTHIS,working,7,1171
18:04:42.331: Awarded: 0 pts
18:04:42.745: Message received: ISTHIS,working,7,1171
18:04:42.746: Awarded: 0 pts
18:04:44.754: Message received: ISTHIS,working,7,1171
18:04:44.755: Awarded: 0 pts
18:04:45.143: Message received: ISTHIS,working,7,1171
18:04:45.144: Awarded: 0 pts
18:04:45.546: Message received: ISTHIS,working,7,1171
18:04:45.547: Awarded: 0 pts
18:04:45.920: Message received: ISTHIS,working,7,1171
18:04:45.921: Awarded: 0 pts
18:04:46.360: Message received: ISTHIS,working,7,1171
18:04:46.361: Awarded: 0 pts
18:04:46.727: Message received: ISTHIS,working,7,1171
18:04:46.728: Awarded: 0 pts
18:04:47.165: Message received: ISTHIS,working,7,1171
18:04:47.166: Awarded: 0 pts
18:04:47.587: Message received: ISTHIS,working,7,1171
18:04:47.589: Awarded: 0 pts
18:04:47.977: Message received: ISTHIS,working,7,1171
18:04:47.979: Awarded: 0 pts
18:04:50.840: Message received: ISTHIS,working,7,1171
18:04:50.841: Awarded: 0 pts
18:04:51.207: Message received: ISTHIS,working,7,1171
18:04:51.209: Awarded: 0 pts
18:04:51.601: Message received: ISTHIS,working,7,1171
18:04:51.602: Awarded: 0 pts
18:04:51.993: Message received: ISTHIS,working,7,1171
18:04:51.994: Awarded: 0 pts
18:04:52.365: Message received: ISTHIS,working,7,1171
18:04:52.367: Awarded: 0 pts
18:04:52.744: Message received: ISTHIS,working,7,1171
18:04:52.746: Awarded: 0 pts
18:04:53.129: Message received: ISTHIS,working,7,1171
18:04:53.130: Awarded: 0 pts
18:04:53.509: Message received: ISTHIS,working,7,1171
18:04:53.511: Awarded: 0 pts
18:04:53.884: Message received: ISTHIS,working,7,1171
18:04:53.885: Awarded: 0 pts
18:04:54.259: Message received: ISTHIS,working,7,1171
18:04:54.260: Awarded: 0 pts
18:04:54.629: Message received: ISTHIS,working,7,1171
18:04:54.630: Awarded: 0 pts
18:04:55.017: Message received: ISTHIS,working,7,1171
18:04:55.018: Awarded: 0 pts
18:04:55.382: Message received: ISTHIS,working,7,1171
18:04:55.383: Awarded: 0 pts
18:04:55.757: Message received: ISTHIS,working,7,1171
18:04:55.758: Awarded: 0 pts
18:04:56.132: Message received: ISTHIS,working,7,1171
18:04:56.134: Awarded: 0 pts
18:04:56.508: Message received: ISTHIS,working,7,1171
18:04:56.509: Awarded: 0 pts
18:07:44.308: Out of time: 240.295sec sim time (real time: 248sec).
18:07:50.809: Message received: ISTHIS,working,0,0000
18:07:50.810: Timer started.
18:07:51.375: Message received: ISTHIS,working,7,1111
18:07:51.377: Awarded: 0 pts
18:07:51.756: Message received: ISTHIS,working,7,1111
18:07:51.757: Awarded: 0 pts
18:07:52.135: Message received: ISTHIS,working,7,1111
18:07:52.136: Awarded: 0 pts
18:07:52.507: Message received: ISTHIS,working,7,1111
18:07:52.509: Awarded: 0 pts
18:07:52.948: Message received: ISTHIS,working,7,1111
18:07:52.949: Awarded: 0 pts
18:07:53.383: Message received: ISTHIS,working,7,1111
18:07:53.385: Awarded: 0 pts
18:07:53.766: Message received: ISTHIS,working,7,1111
18:07:53.768: Awarded: 0 pts
18:07:54.173: Message received: ISTHIS,working,7,1111
18:07:54.175: Awarded: 0 pts
18:11:57.809: Out of time: 240.061sec sim time (real time: 247sec).
18:23:26.874: Message received: ISTHIS,working,0,0000
18:23:26.875: Timer started.
18:23:27.782: Message received: ISTHIS,working,7,1111
18:23:27.784: Awarded: 0 pts
18:23:28.400: Message received: ISTHIS,working,7,1111
18:23:28.402: Awarded: 0 pts
18:23:28.987: Message received: ISTHIS,working,7,1111
18:23:28.990: Awarded: 0 pts
18:23:29.648: Message received: ISTHIS,working,7,1111
18:23:29.650: Awarded: 0 pts
18:23:30.261: Message received: ISTHIS,working,7,1111
18:23:30.262: Awarded: 0 pts
18:23:30.810: Message received: ISTHIS,working,7,1111
18:23:30.812: Awarded: 0 pts
18:23:31.479: Message received: ISTHIS,working,7,1111
18:23:31.480: Awarded: 0 pts
18:23:32.040: Message received: ISTHIS,working,7,1111
18:23:32.043: Awarded: 0 pts
18:23:32.609: Message received: ISTHIS,working,7,1111
18:23:32.610: Awarded: 0 pts
18:23:33.218: Message received: ISTHIS,working,7,1111
18:23:33.220: Awarded: 0 pts
18:23:33.912: Message received: ISTHIS,working,7,1111
18:23:33.916: Awarded: 0 pts
18:23:34.582: Message received: ISTHIS,working,7,1111
18:23:34.584: Awarded: 0 pts
18:23:35.154: Message received: ISTHIS,working,7,1111
18:23:35.156: Awarded: 0 pts
18:23:35.719: Message received: ISTHIS,working,7,1111
18:23:35.720: Awarded: 0 pts
18:23:36.326: Message received: ISTHIS,working,7,1111
18:23:36.328: Awarded: 0 pts
18:23:36.912: Message received: ISTHIS,working,7,1111
18:23:36.915: Awarded: 0 pts
18:23:37.449: Message received: ISTHIS,working,7,1111
18:23:37.459: Awarded: 0 pts
18:23:38.196: Message received: ISTHIS,working,7,1111
18:23:38.204: Awarded: 0 pts
18:23:38.832: Message received: ISTHIS,working,7,1111
18:23:38.834: Awarded: 0 pts
18:23:39.443: Message received: ISTHIS,working,7,1111
18:23:39.445: Awarded: 0 pts
18:23:39.927: Message received: ISTHIS,working,7,1111
18:23:39.929: Awarded: 0 pts
18:23:40.523: Message received: ISTHIS,working,7,1111
18:23:40.526: Awarded: 0 pts
18:23:41.119: Message received: ISTHIS,working,7,1111
18:23:41.122: Awarded: 0 pts
18:23:41.684: Message received: ISTHIS,working,7,1111
18:23:41.686: Awarded: 0 pts
18:23:42.230: Message received: ISTHIS,working,7,1111
18:23:42.232: Awarded: 0 pts
18:23:42.868: Message received: ISTHIS,working,7,1111
18:23:42.869: Awarded: 0 pts
18:23:43.450: Message received: ISTHIS,working,7,1111
18:23:43.452: Awarded: 0 pts
18:23:43.974: Message received: ISTHIS,working,7,1111
18:23:43.976: Awarded: 0 pts
18:23:44.623: Message received: ISTHIS,working,7,1111
18:23:44.625: Awarded: 0 pts
18:23:45.198: Message received: ISTHIS,working,7,1111
18:23:45.201: Awarded: 0 pts
18:23:45.742: Message received: ISTHIS,working,7,1111
18:23:45.744: Awarded: 0 pts
18:23:46.433: Message received: ISTHIS,working,7,1111
18:23:46.446: Awarded: 0 pts
18:23:47.018: Message received: ISTHIS,working,7,1111
18:23:47.020: Awarded: 0 pts
18:23:47.531: Message received: ISTHIS,working,7,1111
18:23:47.533: Awarded: 0 pts
18:23:48.142: Message received: ISTHIS,working,7,1111
18:23:48.144: Awarded: 0 pts
18:23:48.739: Message received: ISTHIS,working,7,1111
18:23:48.740: Awarded: 0 pts
18:23:49.333: Message received: ISTHIS,working,7,1111
18:23:49.338: Awarded: 0 pts
18:23:50.070: Message received: ISTHIS,working,7,1111
18:23:50.072: Awarded: 0 pts
18:23:50.705: Message received: ISTHIS,working,7,1111
18:23:50.706: Awarded: 0 pts
18:23:51.475: Message received: ISTHIS,working,7,1111
18:23:51.477: Awarded: 0 pts
18:23:52.144: Message received: ISTHIS,working,7,1111
18:23:52.145: Awarded: 0 pts
18:23:52.889: Message received: ISTHIS,working,7,1111
18:23:52.891: Awarded: 0 pts
18:23:53.407: Message received: ISTHIS,working,7,1111
18:23:53.410: Awarded: 0 pts
18:23:53.985: Message received: ISTHIS,working,7,1111
18:23:53.987: Awarded: 0 pts
18:23:54.482: Message received: ISTHIS,working,7,1111
18:23:54.483: Awarded: 0 pts
18:23:55.088: Message received: ISTHIS,working,7,1111
18:23:55.091: Awarded: 0 pts
18:23:55.626: Message received: ISTHIS,working,7,1111
18:23:55.632: Awarded: 0 pts
18:23:56.223: Message received: ISTHIS,working,7,1111
18:23:56.225: Awarded: 0 pts
18:23:56.773: Message received: ISTHIS,working,7,1111
18:23:56.774: Awarded: 0 pts
18:23:57.352: Message received: ISTHIS,working,7,1111
18:23:57.354: Awarded: 0 pts
18:24:05.098: Message received: ISTHIS,working,1,1177
18:24:05.100: Awarded: 0 pts
18:24:06.090: Message received: ISTHIS,working,1,7717
18:24:06.092: Awarded: 0 pts
18:24:08.596: Message received: ISTHIS,working,7,1111
18:24:08.597: Awarded: 0 pts
18:24:09.160: Message received: ISTHIS,working,1,7717
18:24:09.161: Awarded: 0 pts
18:24:09.696: Message received: ISTHIS,working,7,1111
18:24:09.698: Awarded: 0 pts
18:25:36.825: Message received: ISTHIS,working,0,0000
18:25:36.827: Timer started.
18:25:40.035: Message received: ISTHIS,working,1,1174
18:25:40.036: Awarded: 0 pts
18:25:42.966: Message received: ISTHIS,working,7,1111
18:25:42.968: Awarded: 0 pts
18:25:43.611: Message received: ISTHIS,working,7,1111
18:25:43.612: Awarded: 0 pts
18:25:44.166: Message received: ISTHIS,working,7,1111
18:25:44.169: Awarded: 0 pts
18:25:44.742: Message received: ISTHIS,working,7,1111
18:25:44.743: Awarded: 0 pts
18:25:45.268: Message received: ISTHIS,working,7,1111
18:25:45.270: Awarded: 0 pts
18:25:45.860: Message received: ISTHIS,working,7,1111
18:25:45.863: Awarded: 0 pts
18:25:46.459: Message received: ISTHIS,working,7,1111
18:25:46.466: Awarded: 0 pts
18:25:47.102: Message received: ISTHIS,working,7,1111
18:25:47.104: Awarded: 0 pts
18:25:47.684: Message received: ISTHIS,working,7,1111
18:25:47.687: Awarded: 0 pts
18:25:48.275: Message received: ISTHIS,working,7,1111
18:25:48.277: Awarded: 0 pts
18:25:48.948: Message received: ISTHIS,working,7,1111
18:25:48.951: Awarded: 0 pts
18:25:49.644: Message received: ISTHIS,working,7,1111
18:25:49.645: Awarded: 0 pts
18:25:50.201: Message received: ISTHIS,working,7,1111
18:25:50.203: Awarded: 0 pts
18:25:50.784: Message received: ISTHIS,working,7,1111
18:25:50.786: Awarded: 0 pts
18:25:51.403: Message received: ISTHIS,working,7,1111
18:25:51.405: Awarded: 0 pts
18:25:52.021: Message received: ISTHIS,working,7,1111
18:25:52.023: Awarded: 0 pts
18:25:52.668: Message received: ISTHIS,working,7,1111
18:25:52.669: Awarded: 0 pts
18:25:53.286: Message received: ISTHIS,working,7,1111
18:25:53.288: Awarded: 0 pts
18:25:53.931: Message received: ISTHIS,working,7,1111
18:25:53.932: Awarded: 0 pts
18:25:54.626: Message received: ISTHIS,working,7,1111
18:25:54.628: Awarded: 0 pts
18:25:55.210: Message received: ISTHIS,working,7,1111
18:25:55.212: Awarded: 0 pts
18:25:55.824: Message received: ISTHIS,working,7,1111
18:25:55.825: Awarded: 0 pts
18:25:56.375: Message received: ISTHIS,working,7,1111
18:25:56.377: Awarded: 0 pts
18:25:58.158: Message received: ISTHIS,working,7,1111
18:25:58.159: Awarded: 0 pts
18:25:59.598: Message received: ISTHIS,working,7,1111
18:25:59.608: Awarded: 0 pts
18:26:00.822: Message received: ISTHIS,working,7,1111
18:26:00.826: Awarded: 0 pts
18:26:01.626: Message received: ISTHIS,working,7,1111
18:26:01.628: Awarded: 0 pts
18:26:02.201: Message received: ISTHIS,working,7,1111
18:26:02.202: Awarded: 0 pts
18:26:02.775: Message received: ISTHIS,working,7,1111
18:26:02.777: Awarded: 0 pts
18:26:03.403: Message received: ISTHIS,working,7,1111
18:26:03.405: Awarded: 0 pts
18:26:03.995: Message received: ISTHIS,working,7,1111
18:26:03.996: Awarded: 0 pts
18:26:04.595: Message received: ISTHIS,working,7,1111
18:26:04.596: Awarded: 0 pts
18:26:05.160: Message received: ISTHIS,working,7,1111
18:26:05.162: Awarded: 0 pts
18:26:05.804: Message received: ISTHIS,working,7,1111
18:26:05.805: Awarded: 0 pts
18:26:06.418: Message received: ISTHIS,working,7,1111
18:26:06.420: Awarded: 0 pts
18:26:06.996: Message received: ISTHIS,working,7,1111
18:26:06.998: Awarded: 0 pts
18:26:07.556: Message received: ISTHIS,working,7,1111
18:26:07.558: Awarded: 0 pts
18:26:08.218: Message received: ISTHIS,working,7,1111
18:26:08.221: Awarded: 0 pts
18:26:08.840: Message received: ISTHIS,working,7,1111
18:26:08.842: Awarded: 0 pts
18:26:09.434: Message received: ISTHIS,working,7,1111
18:26:09.436: Awarded: 0 pts
18:26:09.987: Message received: ISTHIS,working,7,1111
18:26:09.989: Awarded: 0 pts
18:26:10.575: Message received: ISTHIS,working,7,1111
18:26:10.578: Awarded: 0 pts
18:26:11.156: Message received: ISTHIS,working,7,1111
18:26:11.158: Awarded: 0 pts
18:26:11.706: Message received: ISTHIS,working,7,1111
18:26:11.708: Awarded: 0 pts
18:26:12.363: Message received: ISTHIS,working,7,1111
18:26:12.365: Awarded: 0 pts
18:26:13.360: Message received: ISTHIS,working,7,1111
18:26:13.364: Awarded: 0 pts
18:26:16.483: Message received: ISTHIS,working,7,1111
18:26:16.485: Awarded: 0 pts
18:26:17.086: Message received: ISTHIS,working,7,1111
18:26:17.087: Awarded: 0 pts
18:26:17.699: Message received: ISTHIS,working,7,1111
18:26:17.704: Awarded: 0 pts
18:26:18.246: Message received: ISTHIS,working,7,1111
18:26:18.248: Awarded: 0 pts
18:26:18.890: Message received: ISTHIS,working,7,1111
18:26:18.892: Awarded: 0 pts
18:26:19.461: Message received: ISTHIS,working,7,1111
18:26:19.462: Awarded: 0 pts
18:26:20.016: Message received: ISTHIS,working,7,1111
18:26:20.021: Awarded: 0 pts
18:26:20.646: Message received: ISTHIS,working,7,1111
18:26:20.647: Awarded: 0 pts
18:26:21.156: Message received: ISTHIS,working,7,1111
18:26:21.158: Awarded: 0 pts
18:26:21.800: Message received: ISTHIS,working,7,1111
18:26:21.803: Awarded: 0 pts
18:29:33.711: Message received: ISTHIS,working,0,0000
18:29:33.712: Timer started.
18:29:34.287: Message received: ISTHIS,working,7,1111
18:29:34.289: Awarded: 0 pts
18:29:34.673: Message received: ISTHIS,working,7,1111
18:29:34.675: Awarded: 0 pts
18:29:41.567: Message received: ISTHIS,working,7,1111
18:29:41.569: Awarded: 0 pts
18:29:42.075: Message received: ISTHIS,working,7,1111
18:29:42.076: Awarded: 0 pts
18:29:42.475: Message received: ISTHIS,working,7,1111
18:29:42.476: Awarded: 0 pts
18:29:42.866: Message received: ISTHIS,working,7,1111
18:29:42.867: Awarded: 0 pts
18:29:43.283: Message received: ISTHIS,working,7,1111
18:29:43.285: Awarded: 0 pts
18:29:43.689: Message received: ISTHIS,working,7,1111
18:29:43.690: Awarded: 0 pts
18:29:44.089: Message received: ISTHIS,working,7,1111
18:29:44.091: Awarded: 0 pts
18:29:44.479: Message received: ISTHIS,working,7,1111
18:29:44.481: Awarded: 0 pts
18:29:44.864: Message received: ISTHIS,working,7,1111
18:29:44.866: Awarded: 0 pts
18:29:45.244: Message received: ISTHIS,working,7,1111
18:29:45.245: Awarded: 0 pts
18:29:45.653: Message received: ISTHIS,working,7,1111
18:29:45.654: Awarded: 0 pts
18:29:46.059: Message received: ISTHIS,working,7,1111
18:29:46.060: Awarded: 0 pts
18:29:46.471: Message received: ISTHIS,working,7,1111
18:29:46.473: Awarded: 0 pts
18:29:46.880: Message received: ISTHIS,working,7,1111
18:29:46.882: Awarded: 0 pts
18:29:47.274: Message received: ISTHIS,working,7,1111
18:29:47.275: Awarded: 0 pts
18:29:47.673: Message received: ISTHIS,working,7,1111
18:29:47.675: Awarded: 0 pts
18:29:48.055: Message received: ISTHIS,working,7,1111
18:29:48.057: Awarded: 0 pts
18:30:07.738: Message received: ISTHIS,working,0,0000
18:30:07.740: Timer started.
18:30:08.350: Message received: ISTHIS,working,2,F644
18:30:08.352: Awarded: 0 pts
18:30:08.791: Message received: ISTHIS,working,2,F644
18:30:08.794: Awarded: 0 pts
18:30:09.199: Message received: ISTHIS,working,2,F644
18:30:09.202: Awarded: 0 pts
18:30:09.576: Message received: ISTHIS,working,2,F644
18:30:09.577: Awarded: 0 pts
18:30:10.001: Message received: ISTHIS,working,2,F644
18:30:10.004: Awarded: 0 pts
18:30:10.428: Message received: ISTHIS,working,2,F644
18:30:10.430: Awarded: 0 pts
18:30:10.811: Message received: ISTHIS,working,2,F644
18:30:10.812: Awarded: 0 pts
18:30:11.223: Message received: ISTHIS,working,3,6646
18:30:11.224: Awarded: 0 pts
18:30:11.615: Message received: ISTHIS,working,2,F644
18:30:11.616: Awarded: 0 pts
18:30:23.415: Message received: ISTHIS,working,3,6646
18:30:23.416: Awarded: 0 pts
18:34:11.755: Out of time: 240.955sec sim time (real time: 244sec).
