15:33:12.181: Position 1: IN07
15:35:16.681: Message received: ISTHIS,working,1,1111
15:35:16.682: Awarded: 0 pts
15:35:17.069: Message received: ISTHIS,working,1,1111
15:35:17.071: Awarded: 0 pts
15:35:17.535: Message received: ISTHIS,working,1,1111
15:35:17.537: Awarded: 0 pts
15:35:17.901: Message received: ISTHIS,working,1,1111
15:35:17.903: Awarded: 0 pts
15:35:18.266: Message received: ISTHIS,working,1,1111
15:35:18.267: Awarded: 0 pts
15:35:18.756: Message received: ISTHIS,working,1,1111
15:35:18.757: Awarded: 0 pts
15:35:19.127: Message received: ISTHIS,working,1,1111
15:35:19.129: Awarded: 0 pts
15:35:19.597: Message received: ISTHIS,working,1,1111
15:35:19.598: Awarded: 0 pts
15:35:19.771: Manual control enabled.
15:35:19.978: Message received: ISTHIS,working,1,1111
15:35:19.979: Awarded: 0 pts
15:35:20.354: Message received: ISTHIS,working,1,1111
15:35:20.355: Awarded: 0 pts
15:35:20.723: Message received: ISTHIS,working,1,1111
15:35:20.724: Awarded: 0 pts
15:35:21.087: Message received: ISTHIS,working,1,1111
15:35:21.088: Awarded: 0 pts
15:35:21.465: Message received: ISTHIS,working,1,1111
15:35:21.466: Awarded: 0 pts
15:35:21.833: Message received: ISTHIS,working,1,1111
15:35:21.835: Awarded: 0 pts
15:35:22.236: Message received: ISTHIS,working,1,1111
15:35:22.237: Awarded: 0 pts
15:35:22.982: Message received: ISTHIS,working,1,1111
15:35:22.983: Awarded: 0 pts
15:35:23.412: Message received: ISTHIS,working,1,1111
15:35:23.413: Awarded: 0 pts
15:35:27.063: First command velocity received.
15:35:27.507: Message received: ISTHIS,working,1,1111
15:35:27.509: Awarded: 0 pts
15:35:27.873: Message received: ISTHIS,working,1,1111
15:35:27.875: Awarded: 0 pts
15:35:28.271: Message received: ISTHIS,working,1,1111
15:35:28.272: Awarded: 0 pts
15:35:28.896: Message received: ISTHIS,working,1,1111
15:35:28.898: Awarded: 0 pts
15:35:29.702: Message received: ISTHIS,working,1,1111
15:35:29.704: Awarded: 0 pts
15:35:30.094: Message received: ISTHIS,working,1,1111
15:35:30.096: Awarded: 0 pts
15:35:30.515: Message received: ISTHIS,working,1,1111
15:35:30.516: Awarded: 0 pts
15:35:30.904: Message received: ISTHIS,working,1,1111
15:35:30.906: Awarded: 0 pts
15:35:31.310: Message received: ISTHIS,working,1,1111
15:35:31.312: Awarded: 0 pts
15:35:31.744: Message received: ISTHIS,working,1,1111
15:35:31.745: Awarded: 0 pts
15:35:32.136: Message received: ISTHIS,working,1,1111
15:35:32.139: Awarded: 0 pts
15:35:32.558: Message received: ISTHIS,working,1,1111
15:35:32.559: Awarded: 0 pts
15:35:32.964: Message received: ISTHIS,working,1,1111
15:35:32.965: Awarded: 0 pts
15:35:33.336: Message received: ISTHIS,working,1,1111
15:35:33.337: Awarded: 0 pts
15:35:33.709: Message received: ISTHIS,working,1,1111
15:35:33.711: Awarded: 0 pts
15:35:34.083: Message received: ISTHIS,working,1,1111
15:35:34.085: Awarded: 0 pts
15:35:34.440: Message received: ISTHIS,working,1,1111
15:35:34.441: Awarded: 0 pts
15:35:34.799: Message received: ISTHIS,working,1,1111
15:35:34.800: Awarded: 0 pts
15:35:35.161: Message received: ISTHIS,working,1,1111
15:35:35.162: Awarded: 0 pts
15:35:35.518: Message received: ISTHIS,working,1,1111
15:35:35.520: Awarded: 0 pts
15:35:35.874: Message received: ISTHIS,working,1,1111
15:35:35.876: Awarded: 0 pts
15:35:36.223: Message received: ISTHIS,working,1,1111
15:35:36.224: Awarded: 0 pts
15:35:36.589: Message received: ISTHIS,working,1,1111
15:35:36.590: Awarded: 0 pts
15:35:36.932: Message received: ISTHIS,working,1,1111
15:35:36.934: Awarded: 0 pts
15:35:37.308: Message received: ISTHIS,working,1,1111
15:35:37.310: Awarded: 0 pts
15:35:37.698: Message received: ISTHIS,working,1,1111
15:35:37.700: Awarded: 0 pts
15:35:43.675: Message received: ISTHIS,working,1,1111
15:35:43.676: Awarded: 0 pts
15:35:45.448: Message received: ISTHIS,working,1,1111
15:35:45.449: Awarded: 0 pts
15:35:45.869: Message received: ISTHIS,working,1,1111
15:35:45.871: Awarded: 0 pts
15:35:46.249: Message received: ISTHIS,working,1,1111
15:35:46.250: Awarded: 0 pts
15:35:47.488: Message received: ISTHIS,working,1,1111
15:35:47.490: Awarded: 0 pts
15:35:47.874: Message received: ISTHIS,working,1,1111
15:35:47.876: Awarded: 0 pts
15:35:48.250: Message received: ISTHIS,working,1,1111
15:35:48.251: Awarded: 0 pts
15:35:49.926: Message received: ISTHIS,working,1,1111
15:35:49.927: Awarded: 0 pts
15:35:50.328: Message received: ISTHIS,working,1,1111
15:35:50.329: Awarded: 0 pts
15:35:50.679: Message received: ISTHIS,working,1,1111
15:35:50.680: Awarded: 0 pts
15:35:51.040: Message received: ISTHIS,working,1,1111
15:35:51.041: Awarded: 0 pts
15:35:52.994: Message received: ISTHIS,working,1,1111
15:35:52.996: Awarded: 0 pts
15:35:53.366: Message received: ISTHIS,working,1,1111
15:35:53.367: Awarded: 0 pts
15:35:53.826: Message received: ISTHIS,working,1,1111
15:35:53.827: Awarded: 0 pts
15:35:54.201: Message received: ISTHIS,working,1,1111
15:35:54.203: Awarded: 0 pts
15:35:54.867: Message received: ISTHIS,working,1,1111
15:35:54.870: Awarded: 0 pts
15:35:55.226: Message received: ISTHIS,working,1,1111
15:35:55.227: Awarded: 0 pts
15:35:55.581: Message received: ISTHIS,working,1,1111
15:35:55.582: Awarded: 0 pts
15:35:55.921: Message received: ISTHIS,working,1,1111
15:35:55.922: Awarded: 0 pts
15:35:56.281: Message received: ISTHIS,working,1,1111
15:35:56.283: Awarded: 0 pts
15:35:56.644: Message received: ISTHIS,working,1,1111
15:35:56.645: Awarded: 0 pts
15:35:57.008: Message received: ISTHIS,working,1,1111
15:35:57.009: Awarded: 0 pts
15:35:57.441: Message received: ISTHIS,working,1,1111
15:35:57.442: Awarded: 0 pts
15:35:57.782: Message received: ISTHIS,working,1,1111
15:35:57.784: Awarded: 0 pts
15:36:03.367: Message received: ISTHIS,working,1,1111
15:36:03.369: Awarded: 0 pts
15:36:03.828: Message received: ISTHIS,working,1,1111
15:36:03.829: Awarded: 0 pts
15:36:04.234: Message received: ISTHIS,working,1,1111
15:36:04.235: Awarded: 0 pts
15:38:10.374: Message received: ISTHIS,working,0,0000
15:38:10.375: Timer started.
15:38:30.737: Message received: ISTHIS,working,1,1111
15:38:30.738: Awarded: 0 pts
15:38:55.056: Manual control disabled.
15:39:04.984: Message received: ISTHIS,working,1,1111
15:39:04.987: Awarded: 0 pts
15:39:06.158: Message received: ISTHIS,working,1,1111
15:39:06.160: Awarded: 0 pts
15:39:09.382: Message received: ISTHIS,working,1,1111
15:39:09.385: Awarded: 0 pts
15:39:09.751: Message received: ISTHIS,working,1,1111
15:39:09.753: Awarded: 0 pts
15:39:10.130: Message received: ISTHIS,working,1,1111
15:39:10.133: Awarded: 0 pts
15:39:10.510: Message received: ISTHIS,working,1,1111
15:39:10.511: Awarded: 0 pts
15:39:10.893: Message received: ISTHIS,working,1,1111
15:39:10.894: Awarded: 0 pts
15:39:11.284: Message received: ISTHIS,working,1,1111
15:39:11.285: Awarded: 0 pts
15:39:14.738: Message received: ISTHIS,working,1,1111
15:39:14.740: Awarded: 0 pts
15:39:15.128: Message received: ISTHIS,working,1,1111
15:39:15.131: Awarded: 0 pts
15:39:15.506: Message received: ISTHIS,working,1,1111
15:39:15.509: Awarded: 0 pts
15:39:15.887: Message received: ISTHIS,working,1,1111
15:39:15.889: Awarded: 0 pts
15:39:16.262: Message received: ISTHIS,working,1,1111
15:39:16.264: Awarded: 0 pts
15:39:16.625: Message received: ISTHIS,working,1,1111
15:39:16.626: Awarded: 0 pts
15:39:16.990: Message received: ISTHIS,working,1,1111
15:39:16.992: Awarded: 0 pts
15:39:17.378: Message received: ISTHIS,working,1,1111
15:39:17.380: Awarded: 0 pts
15:39:17.841: Message received: ISTHIS,working,1,1111
15:39:17.843: Awarded: 0 pts
15:39:22.807: Message received: ISTHIS,working,1,1111
15:39:22.808: Awarded: 0 pts
15:39:23.215: Message received: ISTHIS,working,1,1111
15:39:23.217: Awarded: 0 pts
15:39:23.677: Message received: ISTHIS,working,1,1111
15:39:23.678: Awarded: 0 pts
15:39:25.704: Message received: ISTHIS,working,1,1111
15:39:25.706: Awarded: 0 pts
15:39:26.095: Message received: ISTHIS,working,1,1111
15:39:26.097: Awarded: 0 pts
