15:40:27.476: Position 1: LF15
15:41:37.243: Awarded: 0 pts
15:41:37.608: Message received: ISTHIS,working,1,1111
15:41:37.609: Awarded: 0 pts
15:41:37.976: Message received: ISTHIS,working,1,1111
15:41:37.977: Awarded: 0 pts
15:41:38.351: Message received: ISTHIS,working,1,1111
15:41:38.352: Awarded: 0 pts
15:41:38.713: Message received: ISTHIS,working,1,1111
15:41:38.714: Awarded: 0 pts
15:41:39.084: Message received: ISTHIS,working,1,1111
15:41:39.085: Awarded: 0 pts
15:41:39.454: Message received: ISTHIS,working,1,1111
15:41:39.455: Awarded: 0 pts
15:41:39.809: Message received: ISTHIS,working,1,1111
15:41:39.810: Awarded: 0 pts
15:41:40.162: Message received: ISTHIS,working,1,1111
15:41:40.163: Awarded: 0 pts
15:41:40.526: Message received: ISTHIS,working,1,1111
15:41:40.527: Awarded: 0 pts
15:41:40.867: Message received: ISTHIS,working,1,1111
15:41:40.869: Awarded: 0 pts
15:41:41.242: Message received: ISTHIS,working,1,1111
15:41:41.244: Awarded: 0 pts
15:41:41.616: Message received: ISTHIS,working,1,1111
15:41:41.617: Awarded: 0 pts
15:41:41.980: Message received: ISTHIS,working,1,1111
15:41:41.981: Awarded: 0 pts
15:41:42.337: Message received: ISTHIS,working,1,1111
15:41:42.339: Awarded: 0 pts
15:41:42.717: Message received: ISTHIS,working,1,1111
15:41:42.718: Awarded: 0 pts
15:41:43.062: Message received: ISTHIS,working,1,1111
15:41:43.064: Awarded: 0 pts
15:41:43.414: Message received: ISTHIS,working,1,1111
15:41:43.416: Awarded: 0 pts
15:41:43.802: Message received: ISTHIS,working,1,1111
15:41:43.803: Awarded: 0 pts
15:41:44.157: Message received: ISTHIS,working,1,1111
15:41:44.159: Awarded: 0 pts
15:41:44.516: Message received: ISTHIS,working,1,1111
15:41:44.518: Awarded: 0 pts
15:41:44.903: Message received: ISTHIS,working,1,1111
15:41:44.904: Awarded: 0 pts
15:41:45.262: Message received: ISTHIS,working,1,1111
15:41:45.264: Awarded: 0 pts
15:41:45.641: Message received: ISTHIS,working,1,1111
15:41:45.642: Awarded: 0 pts
15:41:45.987: Message received: ISTHIS,working,1,1111
15:41:45.990: Awarded: 0 pts
15:41:46.374: Message received: ISTHIS,working,1,1111
15:41:46.376: Awarded: 0 pts
15:41:46.735: Message received: ISTHIS,working,1,1111
15:41:46.736: Awarded: 0 pts
15:41:47.112: Message received: ISTHIS,working,1,1111
15:41:47.113: Awarded: 0 pts
15:41:47.496: Message received: ISTHIS,working,1,1111
15:41:47.497: Awarded: 0 pts
15:41:47.863: Message received: ISTHIS,working,1,1111
15:41:47.866: Awarded: 0 pts
15:41:48.237: Message received: ISTHIS,working,1,1111
15:41:48.239: Awarded: 0 pts
15:41:48.593: Message received: ISTHIS,working,1,1111
15:41:48.595: Awarded: 0 pts
15:41:48.969: Message received: ISTHIS,working,1,1111
15:41:48.971: Awarded: 0 pts
15:41:49.324: Message received: ISTHIS,working,1,1111
15:41:49.325: Awarded: 0 pts
15:41:49.701: Message received: ISTHIS,working,1,1111
15:41:49.703: Awarded: 0 pts
15:41:50.085: Message received: ISTHIS,working,1,1111
15:41:50.086: Awarded: 0 pts
15:41:50.448: Message received: ISTHIS,working,1,1111
15:41:50.450: Awarded: 0 pts
15:41:50.812: Message received: ISTHIS,working,1,1111
15:41:50.814: Awarded: 0 pts
15:41:51.179: Message received: ISTHIS,working,1,1111
15:41:51.181: Awarded: 0 pts
15:44:48.982: Out of time: 240.844sec sim time (real time: 249sec).
