21:18:23.713: Position 1: HW70
21:18:29.784: Awarded: 0 pts
21:18:29.963: Message received: ISTHIS,working,8,B639
21:18:29.964: Awarded: 0 pts
21:18:30.141: Message received: ISTHIS,working,8,B639
21:18:30.142: Awarded: 0 pts
21:18:30.306: Message received: ISTHIS,working,8,B639
21:18:30.308: Awarded: 0 pts
21:18:30.478: Message received: ISTHIS,working,8,B639
21:18:30.479: Awarded: 0 pts
21:18:30.659: Message received: ISTHIS,working,8,B639
21:18:30.661: Awarded: 0 pts
21:18:30.824: Message received: ISTHIS,working,8,B639
21:18:30.825: Awarded: 0 pts
21:18:31.011: Message received: ISTHIS,working,8,B639
21:18:31.013: Awarded: 0 pts
21:18:31.174: Message received: ISTHIS,working,8,B639
21:18:31.176: Awarded: 0 pts
21:18:31.340: Message received: ISTHIS,working,8,B639
21:18:31.342: Awarded: 0 pts
21:18:31.517: Message received: ISTHIS,working,8,B639
21:18:31.518: Awarded: 0 pts
21:18:31.688: Message received: ISTHIS,working,8,B639
21:18:31.689: Awarded: 0 pts
21:18:31.855: Message received: ISTHIS,working,8,B639
21:18:31.857: Awarded: 0 pts
21:28:37.594: Message received: ISTHIS,working,0,0000
21:28:37.595: Timer started.
21:28:38.122: Message received: ISTHIS,working,8,BN39
21:28:38.124: Awarded: 0 pts
21:28:38.321: Message received: ISTHIS,working,8,AN39
21:28:38.322: Awarded: 0 pts
21:28:38.538: Message received: ISTHIS,working,8,AN39
21:28:38.539: Awarded: 0 pts
21:28:38.743: Message received: ISTHIS,working,8,BN39
21:28:38.744: Awarded: 0 pts
21:28:38.917: Message received: ISTHIS,working,8,BN39
21:28:38.919: Awarded: 0 pts
21:28:39.080: Message received: ISTHIS,working,8,BN39
21:28:39.082: Awarded: 0 pts
21:28:39.251: Message received: ISTHIS,working,8,BN39
21:28:39.252: Awarded: 0 pts
21:28:39.416: Message received: ISTHIS,working,8,BN39
21:28:39.417: Awarded: 0 pts
21:28:39.588: Message received: ISTHIS,working,8,BN39
21:28:39.589: Awarded: 0 pts
21:28:39.752: Message received: ISTHIS,working,8,BN39
21:28:39.753: Awarded: 0 pts
21:28:39.933: Message received: ISTHIS,working,8,BN39
21:28:39.934: Awarded: 0 pts
21:28:40.102: Message received: ISTHIS,working,8,BN39
21:28:40.103: Awarded: 0 pts
21:28:40.263: Message received: ISTHIS,working,8,BN39
21:28:40.264: Awarded: 0 pts
21:28:40.440: Message received: ISTHIS,working,8,BN39
21:28:40.441: Awarded: 0 pts
21:28:40.594: Message received: ISTHIS,working,8,BN39
21:28:40.595: Awarded: 0 pts
21:28:40.760: Message received: ISTHIS,working,8,BN39
21:28:40.762: Awarded: 0 pts
21:28:40.919: Message received: ISTHIS,working,8,BN39
21:28:40.923: Awarded: 0 pts
21:28:41.081: Message received: ISTHIS,working,8,BN39
21:28:41.083: Awarded: 0 pts
21:28:41.242: Message received: ISTHIS,working,8,BN39
21:28:41.243: Awarded: 0 pts
21:28:41.408: Message received: ISTHIS,working,8,BN39
21:28:41.409: Awarded: 0 pts
21:28:41.578: Message received: ISTHIS,working,8,BN39
21:28:41.579: Awarded: 0 pts
21:28:41.733: Message received: ISTHIS,working,8,BN39
21:28:41.734: Awarded: 0 pts
21:28:41.891: Message received: ISTHIS,working,8,BN39
21:28:41.894: Awarded: 0 pts
21:28:42.044: Message received: ISTHIS,working,8,BN39
21:28:42.045: Awarded: 0 pts
21:30:02.416: Message received: ISTHIS,working,0,0000
21:30:02.417: Timer started.
21:30:03.224: Message received: ISTHIS,working,8,B6Q9
21:30:03.226: Awarded: 0 pts
21:30:03.414: Message received: ISTHIS,working,8,B6Q9
21:30:03.416: Awarded: 0 pts
21:30:03.581: Message received: ISTHIS,working,8,B6Q9
21:30:03.582: Awarded: 0 pts
21:30:03.757: Message received: ISTHIS,working,8,B6Q9
21:30:03.760: Awarded: 0 pts
21:30:03.925: Message received: ISTHIS,working,8,B6Q9
21:30:03.926: Awarded: 0 pts
21:30:04.087: Message received: ISTHIS,working,8,B6Q9
21:30:04.090: Awarded: 0 pts
21:30:04.250: Message received: ISTHIS,working,8,B6Q9
21:30:04.252: Awarded: 0 pts
21:30:04.403: Message received: ISTHIS,working,8,B6Q9
21:30:04.404: Awarded: 0 pts
21:30:04.559: Message received: ISTHIS,working,8,B6Q9
21:30:04.560: Awarded: 0 pts
21:30:04.738: Message received: ISTHIS,working,8,B6Q9
21:30:04.740: Awarded: 0 pts
21:34:15.542: Out of time: 240.573sec sim time (real time: 253sec).
21:36:13.162: Message received: ISTHIS,working,0,0000
21:36:13.163: Timer started.
21:36:13.698: Message received: ISTHIS,working,8,B6Q8
21:36:13.700: Awarded: 0 pts
21:36:40.738: Message received: ISTHIS,working,0,0000
21:36:40.739: Timer started.
